Date,High,Low,Open,Close,Volume,Adj Close
2021-08-23,9273,9048,9097,9222,9720700,9222
2021-08-24,9314,9236,9289,9272,6142800,9272
2021-08-25,9559,9365,9370,9484,6198600,9484
2021-08-26,9571,9435,9550,9507,4728900,9507
2021-08-27,9487,9401,9409,9460,3673300,9460
2021-08-30,9563,9502,9522,9534,4794900,9534
2021-08-31,9619,9456,9506,9592,5776000,9592
2021-09-01,9721,9621,9701,9652,4133400,9652
2021-09-02,9665,9592,9645,9650,3397800,9650
2021-09-03,9803,9635,9640,9756,6873800,9756
2021-09-06,9962,9803,9870,9962,5999400,9962
2021-09-07,10110,9972,10005,10005,5410200,10005
